"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2020-Q2",0.866762942175143,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2020-Q3",0.966995037837387,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2020-Q4",0.960681883559141,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2021-Q1",0.968909798134954,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2021-Q2",0.975490556271781,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2021-Q3",1.00731455444543,
"BEL","GDPHRWKDFORECAST","TOT","IDX2015","Q","2021-Q4",1.01646800045427,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q1",1.00249457463699,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q2",0.998729143439794,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q3",0.998868938742725,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q4",0.99991403853025,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q1",1.00499081940836,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q2",0.997575052392185,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q3",1.0054571730383,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q4",1.00523944623846,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2017-Q1",1.00937730425529,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2017-Q2",1.01517448994611,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2017-Q3",1.01440253114956,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2017-Q4",1.01288409772016,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2018-Q1",1.01799963104819,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2018-Q2",1.02231944346919,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2018-Q3",1.02481431673071,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2018-Q4",1.02149564449702,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2019-Q1",1.01460924492032,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2019-Q2",1.01833933667812,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2019-Q3",1.0201643909882,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2019-Q4",1.01970940459976,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2020-Q1",1.01427093802336,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2020-Q2",1.01331377891348,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2020-Q3",1.01717260033895,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2020-Q4",1.01647870571323,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2021-Q1",1.03008737965868,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2021-Q2",1.03050099122151,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2021-Q3",1.03259035586194,
"CAN","GDPHRWKDFORECAST","TOT","IDX2015","Q","2021-Q4",1.03842657502325,
"CZE","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q1",0.987647991806437,
"CZE","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q2",0.995276387426895,
"CZE","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q3",1.00620614080676,
"CZE","GDPHRWKDFORECAST","TOT","IDX2015","Q","2015-Q4",1.0107656368372,
"CZE","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q1",1.00552913151523,
"CZE","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q2",1.00380487370193,
"CZE","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q3",1.01040506987481,
"CZE","GDPHRWKDFORECAST","TOT","IDX2015","Q","2016-Q4",1.01390460294221,
